chunk,source,,,,,
"강조의 do  

✅ 객관식 문제 9개  

1 : 다음 중 어법상 틀린 문장을 고르시오. ① He did arrive at the station on time. ② She does believe in hard work. ③ They do likes spicy food. ④ I did clean my room this morning. [정답] ③ [해설] do/does/did 뒤에는 동사원형이 와야 하므로 likes → like로 고쳐야 한다. [오답풀이] ① did + arrive (O) ② does + believe (O) ④ did + clean (O)",original,,,,,
"2 : 괄호 안에 알맞은 표현을 고르시오. I ______ want to join the team, even if I seem hesitant. (does / do / did / done) [정답] do [해설] 현재 시제의 주어 I에 맞춰 do를 사용하며, 강조의 do 뒤에는 동사원형이 와야 한다.  

3 : 다음 중 어법상 올바른 것을 고르시오. ① He does goes there every day. ② She do understand your point. ③ I did submit the report yesterday. ④ They does enjoy reading comics. [정답] ③ [해설] 강조의 did 뒤에는 동사원형 submit이 왔으며, 시제 일치도 올바르다. [오답풀이] ① goes → go ② do → does (She는 3인칭 단수) ④ does → do (They는 복수)",original,,,,,
"4 : 다음 중 어법상 틀린 문장을 고르시오. ① She did call you last night. ② I do likes his attitude. ③ We do believe in second chances. ④ He does speak Spanish fluently. [정답] ② [해설] do 뒤에는 동사원형이 와야 하므로 likes → like로 고쳐야 한다. [오답풀이] ① did + call (O) ③ do + believe (O) ④ does + speak (O)  

5 : 빈칸에 들어갈 말로 알맞은 것을 고르시오. Always he ______ care about his friends deeply. ① do ② does ③ did ④ doing [정답] does [해설] 3인칭 단수 주어 he에 맞춰 does를 사용해야 하며, 강조의 의미로 적절하다. always의 시간의 부사가 포함되어서 현재시제가 적절하다. [오답풀이] ① do → 주어와 수 일치하지 않음 ③ did → 과거 시제 ④ doing → 조동사 뒤에 올 수 없음",original,,,,,
"6 : 다음 문장 중 틀린 부분을 바르게 고친 것을 고르시오. They did went to the festival yesterday. ① did → do ② went → go ③ They → Them ④ yesterday → today [정답] ② [해설] did 뒤에는 동사원형이 와야 하므로 went → go로 고쳐야 한다. [오답풀이] ① do → 시제와 어울리지 않음 ③ Them → 주어는 They ④ today → 어법상 문제 없음  

7 : 다음 중 어법상 틀린 문장을 고르시오. ① I did notice her reaction. ② He does know the answer. ③ They do want to win. ④ She can do enjoy the movie. [정답] ④ [해설] 강조의 do는 조동사(can)과 함께 쓸 수 없다.",original,,,,,
"8 : 빈칸에 들어갈 말로 알맞은 것을 고르시오. You didn’t see him studying, but I ______. ① did ② do ③ does ④ done [정답] did [해설] 앞 문장이 과거 시제이므로, 강조나 대조를 위해 did를 반복해 사용한다.  

9 : 다음 문장을 올바르게 고친 것을 고르시오. He will do plays the piano very well. ① He will does plays the piano very well. ② He does playing the piano very well. ③ He does play the piano very well. ④ He will plays the piano very well. [정답] ③ [해설] 강조의 do는 조동사(will)과 함께 쓸 수 없다. 따라서 wil이나 does 중에 하나만 와야 한다.",original,,,,,
"============  

✅ 객관식 문제 19개  

1 : 괄호 안에 알맞은 표현을 고르시오. I did (see / saw) him leave the building. [정답] see [해설] 강조의 did 뒤에는 반드시 동사원형이 와야 한다.  

2 : 다음 중 어법상 올바른 것을 고르시오. ① I do eats snacks every night. ② He does go jogging every morning. ③ They does like pizza. ④ We did goes camping last weekend. [정답] ② [해설] 강조의 do는 시제와 주어에 따라 형태가 달라지고, 뒤엔 항상 동사원형이 온다.",original,,,,,
"3 : 빈칸에 들어갈 말로 알맞은 것을 고르시오. She ___ go to the same cafe every Friday. ① did ② do ③ does ④ doing [정답] ③ [해설] 3인칭 단수 현재형에는 does + 동사원형이 와야 한다. [오답풀이] ① did → 과거 ② do → 주어와 시제 불일치 ④ doing → 동명사/현재분사 형태  

4 : 다음 중 어법상 틀린 문장을 고르시오. ① He did finish the task before lunch. ② I do know the answer to that question. ③ We does meet every Saturday. ④ She does enjoy classical music. [정답] ③ [해설] 주어가 복수(We)이므로 does가 아니라 do를 사용해야 한다.",original,,,,,
"5 : 다음 중 어법상 틀린 문장을 고르시오. ① I do believe you. ② They did went to the market. ③ She does like to dance. ④ We did see him at the concert. [정답] ② [해설] did 뒤에는 항상 동사원형이 와야 하므로 went → go로 고쳐야 한다.  

6 : 다음 중 어법상 틀린 문장을 고르시오. ① I did finish the report. ② She does can play the violin. ③ You do help a lot. ④ We did clean the room. [정답] ② [해설] 강조의 do는 조동사와 함께 쓰이지 않으므로 does + can은 문법적으로 틀림.",original,,,,,
"7 : 다음 중 어법상 올바른 것을 고르시오. ① Do you do like him? ② I do am ready. ③ She does enjoy reading books. ④ He did can swim well. [정답] ③ [해설] does + 동사원형 enjoy가 잘 쓰인 강조 구문이다.  

8 : 다음 문장을 ‘강조의 do’을 활용하여 강조하시오. He had his meal quickly. ① He does has his meal quickly. ② He did have his meal quickly. ③ He did had his meal quickly. ④ He does have his meal quickly. [정답] ② [해설] 과거형이므로 did를 써야 하고, did 뒤에는 동사원형이 와야 하므로 had → have로 고쳐야 한다.",original,,,,,
"9 : 다음 중 어법상 틀린 문장을 고르시오. ① I do like spicy food. ② She did her homework yesterday. ③ We do going to the library. ④ He does try hard. [정답] ③ [해설] do 뒤엔 동사원형이 와야 하므로 going은 문법적으로 틀림. [오답풀이] ①④ 강조의 do ② 일반 과거문으로 문법상 문제 없음",original,,,,,