grade_band,category,publisher,unit_id,q_id,question,answer
중3,내신,능률,01_강조의_DO,1,‘He do study hard.’ 문장에서 잘못된 부분은?,do → does
중3,내신,능률,01_강조의_DO,2,‘She did goes there.’ 문장에서 잘못된 부분은?,goes → go
중3,내신,능률,01_강조의_DO,3,‘They does enjoy football.’ 문장에서 잘못된 부분은?,does → do
중3,내신,능률,01_강조의_DO,4,‘I did knew the answer.’ 문장에서 잘못된 부분은?,knew → know
중3,내신,능률,01_강조의_DO,5,‘You does always arrive late.’ 문장에서 잘못된 부분은?,does → do
중3,내신,능률,01_강조의_DO,6,‘We do goes shopping.’ 문장에서 잘못된 부분은?,goes → go
중3,내신,능률,01_강조의_DO,7,‘He did calls his friend.’ 문장에서 잘못된 부분은?,calls → call
중3,내신,능률,01_강조의_DO,8,‘She do believe in magic.’ 문장에서 잘못된 부분은?,do → does
중3,내신,능률,01_강조의_DO,9,‘They did played the game.’ 문장에서 잘못된 부분은?,played → play
중3,내신,능률,01_강조의_DO,10,‘I does like pizza.’ 문장에서 잘못된 부분은?,does → do
중3,내신,능률,01_강조의_DO,11,‘We did finished our work.’ 문장에서 잘못된 부분은?,finished → finish
중3,내신,능률,01_강조의_DO,12,‘She do studies every night.’ 문장에서 잘못된 부분은?,do → does
중3,내신,능률,01_강조의_DO,13,‘He did writes letters.’ 문장에서 잘못된 부분은?,writes → write
중3,내신,능률,01_강조의_DO,14,‘They does know the answer.’ 문장에서 잘못된 부분은?,does → do
중3,내신,능률,01_강조의_DO,15,‘She did wrote the report.’ 문장에서 잘못된 부분은?,wrote → write
중3,내신,능률,01_강조의_DO,16,‘I do likes coffee.’ 문장에서 잘못된 부분은?,likes → like
중3,내신,능률,01_강조의_DO,17,‘You did cleans the room.’ 문장에서 잘못된 부분은?,cleans → clean
중3,내신,능률,01_강조의_DO,18,‘He does listened carefully.’ 문장에서 잘못된 부분은?,listened → listen
중3,내신,능률,01_강조의_DO,19,‘We did goes early.’ 문장에서 잘못된 부분은?,goes → go
중3,내신,능률,01_강조의_DO,20,‘She did meets her friend.’ 문장에서 잘못된 부분은?,meets → meet
중3,내신,능률,01_강조의_DO,21,‘They do enjoys music.’ 문장에서 잘못된 부분은?,enjoys → enjoy
중3,내신,능률,01_강조의_DO,22,‘She did studies well.’ 문장에서 잘못된 부분은?,studies → study
중3,내신,능률,01_강조의_DO,23,‘He do has a car.’ 문장에서 잘못된 부분은?,do → does
중3,내신,능률,01_강조의_DO,24,‘They did found the key.’ 문장에서 잘못된 부분은?,found → find
중3,내신,능률,01_강조의_DO,25,‘I does know him.’ 문장에서 잘못된 부분은?,does → do
중3,내신,능률,01_강조의_DO,26,‘We did ate dinner.’ 문장에서 잘못된 부분은?,ate → eat
중3,내신,능률,01_강조의_DO,27,‘You do enjoys reading.’ 문장에서 잘못된 부분은?,enjoys → enjoy
중3,내신,능률,01_강조의_DO,28,‘He does will come.’ 문장에서 잘못된 부분은?,does → (제거)
중3,내신,능률,01_강조의_DO,29,‘I do am tired.’ 문장에서 잘못된 부분은?,do → (제거)
중3,내신,능률,01_강조의_DO,30,‘They did having dinner.’ 문장에서 잘못된 부분은?,having → have
중3,내신,능률,01_강조의_DO,31,‘She does can swim.’ 문장에서 잘못된 부분은?,does → (제거)